json_file,name,region,city,website,already_in_seed,status
abkhazi-gardens.json,Abkhazi Gardens,Greater Victoria,Victoria,www.conservancy.bc.ca,,done
art-gallery-of-greater-victoria.json,Art Gallery of Greater Victoria,Greater Victoria,Victoria,www.aggv.ca,yes,done
b-c-archives.json,B.C. Archives,Greater Victoria,Victoria,www.royalbcmuseum.bc.ca,,done
b-c-aviation-museum.json,B.C. Aviation Museum,Greater Victoria,North Saanich,www.bcam.net,yes,done
bateman-foundation-gallery-of-nature.json,Bateman Foundation Gallery of Nature,Greater Victoria,Victoria,www.batemanfoundation.org,,not_for_groups
beacon-hill-childrens-farm.json,Beacon Hill Children’s Farm,Greater Victoria,Victoria,www.beaconhillchildrensfarm.ca,yes,done
beacon-hill-park.json,Beacon Hill Park,Greater Victoria,Victoria,www.beaconhillpark.com,yes,done
butchart-gardens-national-historic-site.json,Butchart Gardens – National Historic Site,Greater Victoria,Brentwood Bay,www.butchartgardens.com,yes,done
cfb-esquimalt-naval-and-military-museum.json,CFB Esquimalt Naval and Military Museum,Greater Victoria,Esquimalt,www.navalandmilitarymuseum.org,,done
chinese-consolidated-benevolent-association-building-and-chinese-public-school.json,Chinese Consolidated Benevolent Association Building and Chinese Public School,Greater Victoria,Victoria,www.heritagebc.ca,,no_website
christ-church-cathedral.json,Christ Church Cathedral,Greater Victoria,Victoria,www.christchurchcathedral.bc.ca,,done
crag-x-climbing-gym.json,Crag X Climbing Gym,Greater Victoria,Victoria,www.cragx.ca,,done
craigdarroch-castle-national-historic-site.json,Craigdarroch Castle – National Historic Site,Greater Victoria,Victoria,www.thecastle.ca,yes,done
craigflower-manor-and-school-house-national-historic-sites-of-canada.json,Craigflower Manor and School House – National Historic Sites of Canada,Greater Victoria,Victoria,www.pc.gc.ca/apps/dfhd/page_nhs_,,done
discover-the-past-walking-tours.json,Discover the Past Walking Tours,Greater Victoria,Victoria,www.discoverthepast.com,,done
dominion-astrophysical-observatory-centre-of-the-universe-visitor-centre-nrc.json,Dominion Astrophysical Observatory – Centre of the Universe Visitor Centre – NRC,Greater Victoria,Victoria,www.centreoftheuniverse.org,,done
emily-carr-house.json,Emily Carr House,Greater Victoria,Victoria,www.carrhouse.org,yes,done
fairmont-empress-hotel.json,Fairmont Empress Hotel,Greater Victoria,Victoria,www.fairmont.com,,not_for_groups
fairway-gorge-paddling-club.json,Fairway Gorge Paddling Club,Greater Victoria,Victoria,www.fgpaddle.com,,done
flying-squirrel-trampoline-park.json,Flying Squirrel Trampoline Park,Greater Victoria,Victoria,www.flyingsquirrelsports.ca/victoriabritish-columbia,,done
fort-rodd-hill-and-fisgard-lighthouse-national-historic-site.json,Fort Rodd Hill and Fisgard Lighthouse National Historic Site,Greater Victoria,Victoria,www.parks.canada.ca/lhn-nhs/bc/,yes,done
freshwater-fisheries-society-of-b-c.json,Freshwater Fisheries Society of B.C.,Greater Victoria,Victoria,www.gofishbc.com,,pending
gonzales-hill-observatory-walbran-park.json,Gonzales Hill Observatory (Walbran Park),Greater Victoria,Victoria,www.tourismvictoria.com,,pending
government-house-lieutenant-governor-of-bc.json,Government House (Lieutenant Governor of BC),Greater Victoria,Victoria,www.ltgov.bc.ca,,pending
greater-victoria-public-library.json,Greater Victoria Public Library,Greater Victoria,Victoria,www.gvpl.ca,yes,done
greater-victoria-sports-hall-of-fame.json,Greater Victoria Sports Hall of Fame,Greater Victoria,Victoria,www.gvshof.ca,,done
gulf-islands-cruising-school-ltd.json,Gulf Islands Cruising School Ltd.,Greater Victoria,Sidney,www.cruising.bc.ca,,not_for_groups
hatley-park-formal-gardens-national-historic-site.json,Hatley Park Formal Gardens – National Historic Site,Greater Victoria,Victoria,www.hatleypark.ca,yes,pending
helmcken-house.json,Helmcken House,Greater Victoria,Victoria,www.royalbcmuseum.bc.ca,,pending
heritage-acres.json,Heritage Acres,Greater Victoria,Saanichton,www.heritageacresbc.ca,yes,pending
horticulture-centre-of-the-pacific.json,Horticulture Centre of the Pacific,Greater Victoria,Victoria,www.hcp.ca,,pending
imax-victoria.json,IMAX Victoria,Greater Victoria,Victoria,www.imaxvictoria.com,,pending
kelp-reef-adventures.json,Kelp Reef Adventures,Greater Victoria,Victoria,www.kelpreef.com,,pending
legacy-downtown-art-gallery-uvic.json,Legacy Downtown Art Gallery (UVic),Greater Victoria,Victoria,www.uvic.ca/legacygalleries,,pending
legacy-maltwood-art-museum-gallery-uvic.json,Legacy Maltwood Art Museum & Gallery (UVic),Greater Victoria,Victoria,www.uvic.ca,,pending
legislative-assembly-of-bc-parliamentary-education-office.json,Legislative Assembly of BC – Parliamentary Education Office,Greater Victoria,Victoria,www.leg.bc.ca,,pending
log-cabin-museum-saanich-pioneer-society.json,Log Cabin Museum – Saanich Pioneer Society,Greater Victoria,Saanichton,www.saanichpioneersociety.com,,pending
madrona-gallery.json,Madrona Gallery,Greater Victoria,Victoria,www.madronagallery.com,,pending
maritime-museum-of-british-columbia.json,Maritime Museum of British Columbia,Greater Victoria,Victoria,www.mmbc.bc.ca,yes,pending
mark-loria-gallery-contemporary-indigenous-art.json,Mark Loria Gallery – Contemporary Indigenous Art,Greater Victoria,Victoria,www.markloriagallery.com,,pending
metchosin-international-summer-school-of-the-arts.json,Metchosin International Summer School of the Arts,Greater Victoria,Victoria,www.missa.ca,,pending
metchosin-pioneer-museum.json,Metchosin Pioneer Museum,Greater Victoria,Victoria,www.metchosinmuseum.ca,,pending
metchosin-schoolhouse-museum.json,Metchosin Schoolhouse Museum,Greater Victoria,Victoria,www.metchosinmuseum.ca,,pending
